fk_servidor;swap_total;ram_total;quantidade_cpus;quantidade_nucleos;capacidade_total_disco;qtd_particoes;particoes;data_hora
1;15.81;15.93;6;12;476.92;3;C: 91.6% | D: 51.6% | E: 11.2%;2025-11-26 19:05:11
10;11.00;15.93;6;12;476.92;3;C: 90.5% | D: 51.6% | E: 11.2%;2025-11-26 16:08:50
11;8.01;15.69;10;12;476.83;1;C: 17.3%;2025-11-25 22:59:40
14;14.00;7.89;6;12;222.23;2;C: 88.7% | D: 34.3%;2025-11-25 19:21:12
2;9.85;15.69;10;12;476.83;1;C: 18.4%;2025-11-26 19:06:56
6;11.00;15.93;6;12;476.92;3;C: 90.5% | D: 51.6% | E: 11.2%;2025-11-26 15:39:15
